key,s2_66,s3_66,province,district_number,s1_69,winner_party,s_2566,s_2569,diff
นนทบุรี_1,0.2629903173699101,0.19271888626411077,นนทบุรี,1,0.41089700138794744,ประชาชน,0.45570920363402084,0.41089700138794744,0.04481220224607341
นนทบุรี_2,0.2628385176490316,0.2035612475895028,นนทบุรี,2,0.42877059721404276,ประชาชน,0.46639976523853444,0.42877059721404276,0.03762916802449168
นนทบุรี_3,0.24060390396875322,0.16100350211723174,นนทบุรี,3,0.4425673998311901,ประชาชน,0.401607406085985,0.4425673998311901,-0.04095999374520509
นนทบุรี_6,0.22624611681732948,0.21930536508913828,นนทบุรี,6,0.401578631280922,ประชาชน,0.44555148190646776,0.401578631280922,0.043972850625545734
นนทบุรี_8,0.23581340362029535,0.13653629985658358,นนทบุรี,8,0.3747909272630849,ประชาชน,0.3723497034768789,0.3747909272630849,-0.0024412237862059816
นราธิวาส_1,0.266927149234242,0.1762609954348068,นราธิวาส,1,0.40865296235820797,กล้าธรรม,0.44318814466904877,0.40865296235820797,0.034535182310840795
นราธิวาส_3,0.37246928319156347,0.050676515942894095,นราธิวาส,3,0.4388091673665121,กล้าธรรม,0.42314579913445755,0.4388091673665121,-0.015663368232054553
นราธิวาส_4,0.3174525270230792,0.15527899503359627,นราธิวาส,4,0.48501478964480405,ภูมิใจไทย,0.47273152205667546,0.48501478964480405,-0.012283267588128588
บึงกาฬ_1,0.33042639500006604,0.22892139374479725,บึงกาฬ,1,0.5167484148821629,ภูมิใจไทย,0.5593477887448632,0.5167484148821629,0.042599373862700296
บึงกาฬ_3,0.27030692721153365,0.24161099110865525,บึงกาฬ,3,0.46896959727573123,ภูมิใจไทย,0.511917918320189,0.46896959727573123,0.04294832104445773
ปทุมธานี_3,0.2567805953693495,0.15605893555176906,ปทุมธานี,3,0.4472309770373706,ประชาชน,0.4128395309211186,0.4472309770373706,-0.034391446116252
ปทุมธานี_4,0.23091701905237283,0.2045186992023055,ปทุมธานี,4,0.4066040647180708,ประชาชน,0.4354357182546783,0.4066040647180708,0.028831653536607493
ปทุมธานี_7,0.2687046751702039,0.2662636806646606,ปทุมธานี,7,0.5104160695245411,ภูมิใจไทย,0.5349683558348646,0.5104160695245411,0.024552286310323468
ประจวบคีรีขันธ์_1,0.30101688997512327,0.15752629511630953,ประจวบคีรีขันธ์,1,0.4435046668032863,ภูมิใจไทย,0.45854318509143277,0.4435046668032863,0.015038518288146452
ประจวบคีรีขันธ์_2,0.23726802583075962,0.18835985544918532,ประจวบคีรีขันธ์,2,0.4208417648793484,กล้าธรรม,0.42562788127994494,0.4208417648793484,0.004786116400596563
ประจวบคีรีขันธ์_3,0.1760214929065677,0.17009741389307664,ประจวบคีรีขันธ์,3,0.33369813628609135,ภูมิใจไทย,0.34611890679964435,0.33369813628609135,0.012420770513553003
ปราจีนบุรี_1,0.30326331035957654,0.1307948790232427,ปราจีนบุรี,1,0.4459739161399448,ภูมิใจไทย,0.43405818938281926,0.4459739161399448,-0.011915726757125544
ปราจีนบุรี_3,0.2689612409204543,0.18198460660223223,ปราจีนบุรี,3,0.4981833799579798,ภูมิใจไทย,0.4509458475226865,0.4981833799579798,-0.04723753243529327
