province,district_label,cat_91
สงขลา,สงขลา เขต 9,D
สตูล,สตูล เขต 1,D
สตูล,สตูล เขต 2,D
สมุทรปราการ,สมุทรปราการ เขต 1,D
สมุทรปราการ,สมุทรปราการ เขต 2,D
สมุทรปราการ,สมุทรปราการ เขต 3,D
สมุทรปราการ,สมุทรปราการ เขต 4,D
สมุทรปราการ,สมุทรปราการ เขต 5,D
สมุทรปราการ,สมุทรปราการ เขต 6,D
สมุทรปราการ,สมุทรปราการ เขต 7,D
สมุทรปราการ,สมุทรปราการ เขต 8,D
สมุทรสงคราม,สมุทรสงคราม เขต 1,D
สมุทรสาคร,สมุทรสาคร เขต 1,D
สมุทรสาคร,สมุทรสาคร เขต 2,D
สมุทรสาคร,สมุทรสาคร เขต 3,D
สมุทรสาคร,สมุทรสาคร เขต 4,D
สระบุรี,สระบุรี เขต 1,D
สระบุรี,สระบุรี เขต 2,D
สระบุรี,สระบุรี เขต 3,D
สระบุรี,สระบุรี เขต 4,D
สระแก้ว,สระแก้ว เขต 1,D
สระแก้ว,สระแก้ว เขต 2,D
สระแก้ว,สระแก้ว เขต 3,D
สิงห์บุรี,สิงห์บุรี เขต 1,D
สุพรรณบุรี,สุพรรณบุรี เขต 1,D
สุพรรณบุรี,สุพรรณบุรี เขต 2,D
สุพรรณบุรี,สุพรรณบุรี เขต 3,D
สุพรรณบุรี,สุพรรณบุรี เขต 4,D
สุพรรณบุรี,สุพรรณบุรี เขต 5,D
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 1,D
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 2,D
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 3,D
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 4,D
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 5,D
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 6,D
สุราษฎร์ธานี,สุราษฎร์ธานี เขต 7,D
สุรินทร์,สุรินทร์ เขต 1,D
สุรินทร์,สุรินทร์ เขต 2,D
สุรินทร์,สุรินทร์ เขต 3,D
สุรินทร์,สุรินทร์ เขต 4,D
สุรินทร์,สุรินทร์ เขต 5,D
สุรินทร์,สุรินทร์ เขต 6,D
สุรินทร์,สุรินทร์ เขต 7,D
สุรินทร์,สุรินทร์ เขต 8,D
สุโขทัย,สุโขทัย เขต 1,D
สุโขทัย,สุโขทัย เขต 2,D
สุโขทัย,สุโขทัย เขต 3,D
สุโขทัย,สุโขทัย เขต 4,D
หนองคาย,หนองคาย เขต 1,D
หนองคาย,หนองคาย เขต 2,D
หนองคาย,หนองคาย เขต 3,D
หนองบัวลำภู,หนองบัวลำภู เขต 1,D
หนองบัวลำภู,หนองบัวลำภู เขต 2,D
หนองบัวลำภู,หนองบัวลำภู เขต 3,D
อำนาจเจริญ,อำนาจเจริญ เขต 1,D
อำนาจเจริญ,อำนาจเจริญ เขต 2,D
อุดรธานี,อุดรธานี เขต 1,D
อุดรธานี,อุดรธานี เขต 2,D
อุดรธานี,อุดรธานี เขต 3,D
อุดรธานี,อุดรธานี เขต 4,D
อุดรธานี,อุดรธานี เขต 5,D
อุดรธานี,อุดรธานี เขต 6,D
อุดรธานี,อุดรธานี เขต 7,D
อุดรธานี,อุดรธานี เขต 8,D
อุดรธานี,อุดรธานี เขต 9,D
อุดรธานี,อุดรธานี เขต 10,D
อุตรดิตถ์,อุตรดิตถ์ เขต 1,D
อุตรดิตถ์,อุตรดิตถ์ เขต 2,D
อุตรดิตถ์,อุตรดิตถ์ เขต 3,D
อุทัยธานี,อุทัยธานี เขต 1,D
อุทัยธานี,อุทัยธานี เขต 2,D
อุบลราชธานี,อุบลราชธานี เขต 1,D
อุบลราชธานี,อุบลราชธานี เขต 2,D
อุบลราชธานี,อุบลราชธานี เขต 3,D
อุบลราชธานี,อุบลราชธานี เขต 4,D
อุบลราชธานี,อุบลราชธานี เขต 5,D
อุบลราชธานี,อุบลราชธานี เขต 6,D
อุบลราชธานี,อุบลราชธานี เขต 7,D
อุบลราชธานี,อุบลราชธานี เขต 8,D
อุบลราชธานี,อุบลราชธานี เขต 9,D
อุบลราชธานี,อุบลราชธานี เขต 10,D
อุบลราชธานี,อุบลราชธานี เขต 11,D
อ่างทอง,อ่างทอง เขต 1,D
อ่างทอง,อ่างทอง เขต 2,D
เชียงราย,เชียงราย เขต 1,D
เชียงราย,เชียงราย เขต 2,D
เชียงราย,เชียงราย เขต 3,D
เชียงราย,เชียงราย เขต 4,D
เชียงราย,เชียงราย เขต 5,D
เชียงราย,เชียงราย เขต 6,D
เชียงราย,เชียงราย เขต 7,D
เชียงใหม่,เชียงใหม่ เขต 1,D
เชียงใหม่,เชียงใหม่ เขต 2,D
เชียงใหม่,เชียงใหม่ เขต 3,D
เชียงใหม่,เชียงใหม่ เขต 4,D
เชียงใหม่,เชียงใหม่ เขต 5,D
เชียงใหม่,เชียงใหม่ เขต 6,D
เชียงใหม่,เชียงใหม่ เขต 7,D
เชียงใหม่,เชียงใหม่ เขต 8,D
เชียงใหม่,เชียงใหม่ เขต 9,D
เชียงใหม่,เชียงใหม่ เขต 10,D
เพชรบุรี,เพชรบุรี เขต 1,D
เพชรบุรี,เพชรบุรี เขต 2,D
เพชรบุรี,เพชรบุรี เขต 3,D
เพชรบูรณ์,เพชรบูรณ์ เขต 1,D
เพชรบูรณ์,เพชรบูรณ์ เขต 2,D
เพชรบูรณ์,เพชรบูรณ์ เขต 3,D
เพชรบูรณ์,เพชรบูรณ์ เขต 4,D
เพชรบูรณ์,เพชรบูรณ์ เขต 5,D
เพชรบูรณ์,เพชรบูรณ์ เขต 6,D
เลย,เลย เขต 1,D
เลย,เลย เขต 2,D
เลย,เลย เขต 3,D
เลย,เลย เขต 4,D
แพร่,แพร่ เขต 1,D
แพร่,แพร่ เขต 2,D
แพร่,แพร่ เขต 3,D
แม่ฮ่องสอน,แม่ฮ่องสอน เขต 1,D
แม่ฮ่องสอน,แม่ฮ่องสอน เขต 2,D
