province,district_number,district_label,winner_party,cat_91,cat_92,flag_93,share_rk1,share_rk2,share_rk3
ปัตตานี,1,ปัตตานี เขต 1,ภูมิใจไทย,D,E,True,0.34212763373611027,0.22962839273787114,0.19480539194850932
ปัตตานี,3,ปัตตานี เขต 3,ภูมิใจไทย,D,E,True,0.43396197461905567,0.3533230009053662,0.08419905780533092
ปัตตานี,4,ปัตตานี เขต 4,กล้าธรรม,D,E,True,0.36198969846267337,0.3209943222984811,0.1973495277364282
พระนครศรีอยุธยา,5,พระนครศรีอยุธยา เขต 5,ภูมิใจไทย,D,E,True,0.4487248718758597,0.26138343505150435,0.1911826138343505
พังงา,2,พังงา เขต 2,ภูมิใจไทย,D,E,True,0.316478976141889,0.2828710351951226,0.15131131433754064
พัทลุง,1,พัทลุง เขต 1,ภูมิใจไทย,D,E,True,0.36898709245976125,0.3510960874304926,0.13181447586592282
พิจิตร,3,พิจิตร เขต 3,ภูมิใจไทย,D,E,True,0.4029732827400492,0.33796610546696787,0.1266427053312117
พิษณุโลก,1,พิษณุโลก เขต 1,ประชาชน,D,E,True,0.34847283249383776,0.3389561676133319,0.15164505412067303
พิษณุโลก,4,พิษณุโลก เขต 4,ภูมิใจไทย,D,E,True,0.4559637137417404,0.31244260275506774,0.14868406316496807
พิษณุโลก,5,พิษณุโลก เขต 5,ภูมิใจไทย,D,E,True,0.37400986311688617,0.33023786824853174,0.1893530124877888
ภูเก็ต,1,ภูเก็ต เขต 1,ประชาชน,D,E,True,0.2654713291539656,0.2332346005636395,0.21244320469316155
ภูเก็ต,2,ภูเก็ต เขต 2,ประชาชน,D,E,True,0.33113188533866644,0.29370726942932884,0.19295226578608746
ภูเก็ต,3,ภูเก็ต เขต 3,กล้าธรรม,D,E,True,0.37335591234927873,0.2444518010160557,0.14928888832299878
มหาสารคาม,1,มหาสารคาม เขต 1,ภูมิใจไทย,D,E,True,0.36098736409050836,0.2504966206288569,0.16967381722009992
มหาสารคาม,3,มหาสารคาม เขต 3,ภูมิใจไทย,D,E,True,0.45695639738956345,0.4145368035152492,0.07020098281375939
มหาสารคาม,4,มหาสารคาม เขต 4,ภูมิใจไทย,D,E,True,0.3652736947865888,0.2531909351393592,0.18144606110222156
มหาสารคาม,6,มหาสารคาม เขต 6,ภูมิใจไทย,D,E,True,0.42494903160040776,0.33444537114261885,0.1546775090353072
มุกดาหาร,1,มุกดาหาร เขต 1,ภูมิใจไทย,D,E,True,0.3092984527172309,0.2283612293941566,0.1860322947847717
ยะลา,1,ยะลา เขต 1,ประชาชาติ,D,E,True,0.3334987928972722,0.21580063626723223,0.16625301775681955
ยะลา,3,ยะลา เขต 3,ประชาชาติ,D,E,True,0.36406440354285335,0.2708175562213954,0.1284558734757938
ยโสธร,1,ยโสธร เขต 1,ภูมิใจไทย,D,E,True,0.4656072011789541,0.3452025331580834,0.12190823276377107
ยโสธร,3,ยโสธร เขต 3,ภูมิใจไทย,D,E,True,0.4490595190832323,0.30335740420829,0.14671073103211477
ระยอง,1,ระยอง เขต 1,ประชาชน,D,E,True,0.394127246897491,0.3052845385274676,0.1720380871872542
ระยอง,3,ระยอง เขต 3,ประชาธิปัตย์,D,E,True,0.3184921675092055,0.28442863383885664,0.1853585470885602
ราชบุรี,5,ราชบุรี เขต 5,ภูมิใจไทย,D,E,True,0.3956381000915414,0.3546049092607797,0.15143021620754415
ร้อยเอ็ด,3,ร้อยเอ็ด เขต 3,กล้าธรรม,D,E,True,0.4388560944479898,0.366464582003829,0.10293022761114656
ร้อยเอ็ด,4,ร้อยเอ็ด เขต 4,เพื่อไทย,D,E,True,0.2661041417761848,0.2576538231780167,0.1935857228195938
ร้อยเอ็ด,8,ร้อยเอ็ด เขต 8,เพื่อไทย,D,E,True,0.3022676240531004,0.27311422014952996,0.22863769832457373
ลพบุรี,4,ลพบุรี เขต 4,เพื่อไทย,D,E,True,0.436294527290626,0.28341597695701315,0.15786451307106136
ลำปาง,2,ลำปาง เขต 2,กล้าธรรม,D,E,True,0.32175822927415765,0.301148358878717,0.17404311316021168
ลำปาง,3,ลำปาง เขต 3,ประชาชน,D,E,True,0.3363469959447023,0.2560703053103162,0.1551631726383706
ลำปาง,4,ลำปาง เขต 4,กล้าธรรม,D,E,True,0.32769346738232114,0.25831675884805055,0.1381267652962065
