district_id,year,ballot_code,actor_type,party_id,party_name,votes,rank,region,province,district_number,district_label,voters_used,vote_share,party_id_str,key
BRM_6,2569,CONS,candidate,63.0,ภูมิใจไทย,47010,1,ภาคอีสาน,บุรีรัมย์,6,บุรีรัมย์-6,69506,0.676344488,63,บุรีรัมย์_6
BRM_7,2569,CONS,candidate,63.0,ภูมิใจไทย,42445,1,ภาคอีสาน,บุรีรัมย์,7,บุรีรัมย์-7,71117,0.596833387,63,บุรีรัมย์_7
BRM_8,2569,CONS,candidate,63.0,ภูมิใจไทย,49860,1,ภาคอีสาน,บุรีรัมย์,8,บุรีรัมย์-8,79742,0.625266484,63,บุรีรัมย์_8
BRM_9,2569,CONS,candidate,63.0,ภูมิใจไทย,50073,1,ภาคอีสาน,บุรีรัมย์,9,บุรีรัมย์-9,67032,0.747001432,63,บุรีรัมย์_9
BRM_10,2569,CONS,candidate,63.0,ภูมิใจไทย,47751,1,ภาคอีสาน,บุรีรัมย์,10,บุรีรัมย์-10,65157,0.732860629,63,บุรีรัมย์_10
SRN_1,2569,CONS,candidate,63.0,ภูมิใจไทย,43547,1,ภาคอีสาน,สุรินทร์,1,สุรินทร์-1,88601,0.491495581,63,สุรินทร์_1
SRN_3,2569,CONS,candidate,63.0,ภูมิใจไทย,44112,1,ภาคอีสาน,สุรินทร์,3,สุรินทร์-3,74602,0.59129782,63,สุรินทร์_3
SRN_6,2569,CONS,candidate,63.0,ภูมิใจไทย,48468,1,ภาคอีสาน,สุรินทร์,6,สุรินทร์-6,76662,0.632229788,63,สุรินทร์_6
SRN_7,2569,CONS,candidate,63.0,ภูมิใจไทย,40998,1,ภาคอีสาน,สุรินทร์,7,สุรินทร์-7,87156,0.470397907,63,สุรินทร์_7
SRN_8,2569,CONS,candidate,63.0,ภูมิใจไทย,49285,1,ภาคอีสาน,สุรินทร์,8,สุรินทร์-8,76667,0.642845031,63,สุรินทร์_8
SSK_3,2569,CONS,candidate,63.0,ภูมิใจไทย,49781,1,ภาคอีสาน,ศรีสะเกษ,3,ศรีสะเกษ-3,78816,0.631610333,63,ศรีสะเกษ_3
SSK_8,2569,CONS,candidate,63.0,ภูมิใจไทย,53218,1,ภาคอีสาน,ศรีสะเกษ,8,ศรีสะเกษ-8,76063,0.699656863,63,ศรีสะเกษ_8
UBN_5,2569,CONS,candidate,63.0,ภูมิใจไทย,46827,1,ภาคอีสาน,อุบลราชธานี,5,อุบลราชธานี-5,74566,0.627993992,63,อุบลราชธานี_5
UBN_8,2569,CONS,candidate,63.0,ภูมิใจไทย,32711,1,ภาคอีสาน,อุบลราชธานี,8,อุบลราชธานี-8,78660,0.415853038,63,อุบลราชธานี_8
UBN_11,2569,CONS,candidate,63.0,ภูมิใจไทย,54260,1,ภาคอีสาน,อุบลราชธานี,11,อุบลราชธานี-11,80392,0.67494278,63,อุบลราชธานี_11
YST_3,2569,CONS,candidate,63.0,ภูมิใจไทย,41851,1,ภาคอีสาน,ยโสธร,3,ยโสธร-3,93197,0.449059519,63,ยโสธร_3
CPM_3,2569,CONS,candidate,63.0,ภูมิใจไทย,44269,1,ภาคอีสาน,ชัยภูมิ,3,ชัยภูมิ-3,75078,0.589640108,63,ชัยภูมิ_3
