year,key,province,district_number,winner_party,votes_rk1,share_rk1,share_rk2,share_rk3,share_others,enc,n_candidates,share_rk1_cand,margin12_cand,reasons
2569,บุรีรัมย์_9,บุรีรัมย์,9,ภูมิใจไทย,50073,0.7470014321518081,0.08451187492540876,0.05166189282730636,0.04203962286669054,1.5063864627599222,9,0.8073816088618004,0.7160386333220464,"ENC<=2.0, ENC<=p10"
2569,พะเยา_1,พะเยา,1,กล้าธรรม,61641,0.7238172402860464,0.1533918108054156,0.026843273329340896,0.028651612827467973,1.5862061870076731,6,0.7760417978093919,0.6115825254941458,"ENC<=2.0, ENC<=p10"
2569,พะเยา_3,พะเยา,3,กล้าธรรม,55450,0.6529521207696475,0.13473540425331482,0.11713101434257318,0.015060879395209722,1.8462029319379774,5,0.7098236001945775,0.563352876417727,"ENC<=2.0, ENC<=p10"
2569,ระนอง_1,ระนอง,1,ภูมิใจไทย,56553,0.6181466421825813,0.14912338230150401,0.07645811472542847,0.025992479888072753,1.8424366354325348,5,0.7107416204803378,0.5392803730095892,"ENC<=2.0, ENC<=p10"
2569,ศรีสะเกษ_3,ศรีสะเกษ,3,ภูมิใจไทย,49781,0.6316103329273244,0.1133018676410881,0.10004313844904587,0.08786287048315063,2.053284208343387,10,0.6770990601324791,0.5556371648916636,ENC<=p10
2569,ศรีสะเกษ_8,ศรีสะเกษ,8,ภูมิใจไทย,53218,0.6996568633895587,0.11550951185201741,0.11171002984368221,0.01778788635736166,1.7314091752972616,8,0.740640743730342,0.6183650179530715,"ENC<=2.0, ENC<=p10"
2569,สระแก้ว_2,สระแก้ว,2,พลังประชารัฐ,56364,0.6467989396738694,0.15822269143821074,0.03454092698208691,0.07971954144337469,1.894288960511374,9,0.7035913567763922,0.5314758641351159,"ENC<=2.0, ENC<=p10"
2569,สุพรรณบุรี_1,สุพรรณบุรี,1,ภูมิใจไทย,59148,0.6321189257355377,0.21654144980816706,0.039745220207115455,0.03647497622126514,1.908071439924802,9,0.6834600540777889,0.4493309606896074,"ENC<=2.0, ENC<=p10"
2569,สุรินทร์_6,สุรินทร์,6,ภูมิใจไทย,48468,0.6322297879001331,0.13607784821684799,0.11450262189872427,0.05560773264459576,2.038708603549364,9,0.6737187417467091,0.5287110270916445,ENC<=p10
2569,สุรินทร์_8,สุรินทร์,8,ภูมิใจไทย,49285,0.6428450311085604,0.16013408637353752,0.07017360794083503,0.05504323894243938,1.935895156752673,8,0.6925746887383716,0.520052837188387,"ENC<=2.0, ENC<=p10"
2569,สุโขทัย_3,สุโขทัย,3,เพื่อไทย,44192,0.5972134005432652,0.15212778896441748,0.05102909577415301,0.07700312174817898,2.0042424985525655,7,0.6806832709517429,0.5072932550867951,ENC<=p10
2569,อุทัยธานี_1,อุทัยธานี,1,ภูมิใจไทย,50705,0.6620661739743556,0.15783563575588228,0.053821847335022065,0.02982268299689238,1.748059397446102,4,0.7327418026272056,0.5580571973583434,"ENC<=2.0, ENC<=p10"
2569,อุทัยธานี_2,อุทัยธานี,2,ภูมิใจไทย,50967,0.6654697863895127,0.13747584477986108,0.09709092808272836,0.02535645270799603,1.8154021334455601,5,0.7191212574427858,0.5705618421423936,"ENC<=2.0, ENC<=p10"
2569,อุบลราชธานี_10,อุบลราชธานี,10,ไทรวมพลัง,59424,0.7064865893094922,0.08399514932470992,0.07975080844588169,0.04644997146661594,1.635633924471603,6,0.7706993152106246,0.6790698277650965,"ENC<=2.0, ENC<=p10"
2569,อุบลราชธานี_11,อุบลราชธานี,11,ภูมิใจไทย,54260,0.6749427803761568,0.14001393173450094,0.05307742063886954,0.06256841476763857,1.8067637181028597,7,0.7252750190474917,0.5748198842447169,"ENC<=2.0, ENC<=p10"
2569,อุบลราชธานี_5,อุบลราชธานี,5,ภูมิใจไทย,46827,0.6279939918997934,0.14959901295496608,0.10350561918300566,0.057184239465708234,2.052991294165171,7,0.6693013549825625,0.5098622148533531,ENC<=p10
2569,อ่างทอง_1,อ่างทอง,1,ภูมิใจไทย,52703,0.6545330352707401,0.2101713859910581,0.04978887232985594,0.017237953303527075,1.8269250919439985,6,0.7024912360209535,0.47692041107393734,"ENC<=2.0, ENC<=p10"
2569,อ่างทอง_2,อ่างทอง,2,ภูมิใจไทย,57385,0.7000988202569327,0.16180902070345382,0.04829992557980651,0.013566435272731709,1.644751701633802,4,0.7578679063379072,0.5827071144626844,"ENC<=2.0, ENC<=p10"
2569,เพชรบุรี_1,เพชรบุรี,1,ภูมิใจไทย,58584,0.6391167743061617,0.1900091639029499,0.05721984639553151,0.017313230930354338,1.8221666930517617,4,0.7072543551483105,0.49698791544432774,"ENC<=2.0, ENC<=p10"
2569,เพชรบุรี_2,เพชรบุรี,2,ภูมิใจไทย,63365,0.6476191449567164,0.17080424762118904,0.04041167993622436,0.048628925932361025,1.8239414643217595,5,0.7136582234285779,0.5254367095023033,"ENC<=2.0, ENC<=p10"
2569,เพชรบุรี_3,เพชรบุรี,3,ภูมิใจไทย,67129,0.6968938811951083,0.12991300375807155,0.03816207462159749,0.05537445757116459,1.67698771185471,6,0.7572106978895243,0.6160536022469629,"ENC<=2.0, ENC<=p10"
2569,เพชรบูรณ์_1,เพชรบูรณ์,1,ภูมิใจไทย,48580,0.5714420147506852,0.25130274193358665,0.03777069389387505,0.04825144389681578,2.1074444414212046,7,0.628810334338636,0.35227875791190444,ENC<=p10
2569,เพชรบูรณ์_4,เพชรบูรณ์,4,ภูมิใจไทย,44994,0.6601135546720265,0.13848094951658574,0.07856398820439842,0.05143703877583956,1.8683288466561365,11,0.7108730685373021,0.5617436091888647,"ENC<=2.0, ENC<=p10"
2569,เพชรบูรณ์_6,เพชรบูรณ์,6,ภูมิใจไทย,58578,0.67436452385338,0.16407257321790386,0.05293332105360103,0.03681617240744152,1.776677884511195,7,0.726539825862625,0.5497730260709944,"ENC<=2.0, ENC<=p10"
2569,แพร่_2,แพร่,2,ภูมิใจไทย,50300,0.6582994149903807,0.15257364970095147,0.11872946904160504,0.009750160321428104,1.8742895455613433,5,0.700801114594218,0.5383768721699757,"ENC<=2.0, ENC<=p10"
