region,province,district_number,district_label,winner_party,target_party,votes_rank1,votes_target,gap,bucket
ปริมณฑล,ปทุมธานี,7,ปทุมธานี เขต 7,ภูมิใจไทย,ประชาชน,44519,25783,18736,10000+
ภาคกลาง,พระนครศรีอยุธยา,4,พระนครศรีอยุธยา เขต 4,ภูมิใจไทย,ประชาชน,47001,27851,19150,10000+
ภาคอีสาน,หนองคาย,2,หนองคาย เขต 2,พลังประชารัฐ,ประชาชน,28739,9341,19398,10000+
ปริมณฑล,สมุทรสาคร,4,สมุทรสาคร เขต 4,ภูมิใจไทย,ประชาชน,40131,20625,19506,10000+
ภาคเหนือ,เชียงใหม่,10,เชียงใหม่ เขต 10,กล้าธรรม,ประชาชน,32218,12635,19583,10000+
ภาคเหนือ,อุตรดิตถ์,1,อุตรดิตถ์ เขต 1,ภูมิใจไทย,ประชาชน,34929,15249,19680,10000+
ภาคใต้,นครศรีธรรมราช,1,นครศรีธรรมราช เขต 1,ประชาธิปัตย์,ประชาชน,37124,17377,19747,10000+
ภาคกลาง,ประจวบคีรีขันธ์,2,ประจวบคีรีขันธ์ เขต 2,กล้าธรรม,ประชาชน,41386,21456,19930,10000+
ภาคอีสาน,มหาสารคาม,2,มหาสารคาม เขต 2,ภูมิใจไทย,ประชาชน,30045,9958,20087,10000+
ภาคตะวันออก,ชลบุรี,4,ชลบุรี เขต 4,ภูมิใจไทย,ประชาชน,43072,22859,20213,10000+
ภาคอีสาน,ชัยภูมิ,5,ชัยภูมิ เขต 5,เพื่อไทย,ประชาชน,26551,6240,20311,10000+
ภาคเหนือ,นครสวรรค์,1,นครสวรรค์ เขต 1,ภูมิใจไทย,ประชาชน,44878,24567,20311,10000+
ภาคตะวันออก,นครนายก,2,นครนายก เขต 2,ภูมิใจไทย,ประชาชน,32672,12342,20330,10000+
ภาคใต้,สตูล,1,สตูล เขต 1,ภูมิใจไทย,ประชาชน,36435,16009,20426,10000+
ภาคอีสาน,บึงกาฬ,3,บึงกาฬ เขต 3,ภูมิใจไทย,ประชาชน,32501,11963,20538,10000+
ภาคอีสาน,หนองบัวลำภู,2,หนองบัวลำภู เขต 2,เพื่อไทย,ประชาชน,34756,13907,20849,10000+
ภาคเหนือ,อุตรดิตถ์,3,อุตรดิตถ์ เขต 3,เพื่อไทย,ประชาชน,38074,17027,21047,10000+
ภาคเหนือ,เชียงใหม่,9,เชียงใหม่ เขต 9,กล้าธรรม,ประชาชน,40927,19840,21087,10000+
ภาคอีสาน,อุดรธานี,3,อุดรธานี เขต 3,ภูมิใจไทย,ประชาชน,30573,9253,21320,10000+
ภาคตะวันออก,ปราจีนบุรี,3,ปราจีนบุรี เขต 3,ภูมิใจไทย,ประชาชน,42918,21562,21356,10000+
ภาคตะวันออก,นครนายก,1,นครนายก เขต 1,กล้าธรรม,ประชาชน,30340,8948,21392,10000+
ภาคใต้,ยะลา,3,ยะลา เขต 3,ประชาชาติ,ประชาชน,33171,11704,21467,10000+
ภาคเหนือ,กำแพงเพชร,3,กำแพงเพชร เขต 3,เพื่อไทย,ประชาชน,30571,9094,21477,10000+
ภาคอีสาน,สกลนคร,6,สกลนคร เขต 6,ภูมิใจไทย,ประชาชน,32790,11271,21519,10000+
ภาคใต้,สุราษฎร์ธานี,5,สุราษฎร์ธานี เขต 5,กล้าธรรม,ประชาชน,28737,7124,21613,10000+
ภาคอีสาน,สุรินทร์,1,สุรินทร์ เขต 1,ภูมิใจไทย,ประชาชน,43547,21756,21791,10000+
ภาคกลาง,ประจวบคีรีขันธ์,3,ประจวบคีรีขันธ์ เขต 3,ภูมิใจไทย,ประชาชน,31101,8804,22297,10000+
ภาคกลาง,กาญจนบุรี,2,กาญจนบุรี เขต 2,ภูมิใจไทย,ประชาชน,37773,15358,22415,10000+
ภาคอีสาน,ชัยภูมิ,4,ชัยภูมิ เขต 4,ภูมิใจไทย,ประชาชน,27557,4962,22595,10000+
ภาคอีสาน,อุดรธานี,8,อุดรธานี เขต 8,ภูมิใจไทย,ประชาชน,36105,13396,22709,10000+
ภาคใต้,ปัตตานี,3,ปัตตานี เขต 3,ภูมิใจไทย,ประชาชน,28280,5487,22793,10000+
ภาคอีสาน,อุบลราชธานี,6,อุบลราชธานี เขต 6,เพื่อไทย,ประชาชน,31887,9017,22870,10000+
ภาคกลาง,สุพรรณบุรี,2,สุพรรณบุรี เขต 2,ภูมิใจไทย,ประชาชน,42523,19564,22959,10000+
ภาคเหนือ,กำแพงเพชร,4,กำแพงเพชร เขต 4,เพื่อไทย,ประชาชน,35163,12190,22973,10000+
ภาคอีสาน,ขอนแก่น,4,ขอนแก่น เขต 4,เพื่อไทย,ประชาชน,38701,15698,23003,10000+
ภาคเหนือ,พิษณุโลก,3,พิษณุโลก เขต 3,ภูมิใจไทย,ประชาชน,40704,17498,23206,10000+
ภาคใต้,สงขลา,1,สงขลา เขต 1,ภูมิใจไทย,ประชาชน,41498,18289,23209,10000+
ภาคตะวันออก,สระแก้ว,3,สระแก้ว เขต 3,กล้าธรรม,ประชาชน,36075,12831,23244,10000+
ภาคอีสาน,ศรีสะเกษ,9,ศรีสะเกษ เขต 9,ภูมิใจไทย,ประชาชน,37040,13734,23306,10000+
ภาคอีสาน,มหาสารคาม,6,มหาสารคาม เขต 6,ภูมิใจไทย,ประชาชน,36685,13353,23332,10000+
ภาคอีสาน,ร้อยเอ็ด,6,ร้อยเอ็ด เขต 6,เพื่อไทย,ประชาชน,30715,7323,23392,10000+
ภาคใต้,ปัตตานี,4,ปัตตานี เขต 4,กล้าธรรม,ประชาชน,27479,4046,23433,10000+
ภาคเหนือ,เพชรบูรณ์,3,เพชรบูรณ์ เขต 3,ภูมิใจไทย,ประชาชน,37503,14068,23435,10000+
ภาคอีสาน,นครพนม,3,นครพนม เขต 3,ภูมิใจไทย,ประชาชน,34970,11489,23481,10000+
ภาคกลาง,กาญจนบุรี,5,กาญจนบุรี เขต 5,เพื่อไทย,ประชาชน,37019,13378,23641,10000+
ภาคอีสาน,เลย,1,เลย เขต 1,เพื่อไทย,ประชาชน,40796,17150,23646,10000+
ภาคอีสาน,กาฬสินธุ์,4,กาฬสินธุ์ เขต 4,เพื่อไทย,ประชาชน,34051,10334,23717,10000+
ภาคใต้,ชุมพร,2,ชุมพร เขต 2,ภูมิใจไทย,ประชาชน,33428,9583,23845,10000+
ภาคอีสาน,อำนาจเจริญ,2,อำนาจเจริญ เขต 2,ภูมิใจไทย,ประชาชน,40690,16618,24072,10000+
ภาคอีสาน,อุบลราชธานี,8,อุบลราชธานี เขต 8,ภูมิใจไทย,ประชาชน,32711,8631,24080,10000+
ภาคอีสาน,นครราชสีมา,5,นครราชสีมา เขต 5,เพื่อไทย,ประชาชน,37213,13111,24102,10000+
ภาคอีสาน,นครราชสีมา,15,นครราชสีมา เขต 15,เพื่อไทย,ประชาชน,34252,10088,24164,10000+
ภาคใต้,สุราษฎร์ธานี,6,สุราษฎร์ธานี เขต 6,ภูมิใจไทย,ประชาชน,29721,5484,24237,10000+
ภาคกลาง,นครปฐม,3,นครปฐม เขต 3,ภูมิใจไทย,ประชาชน,46059,21777,24282,10000+
ภาคกลาง,นครปฐม,4,นครปฐม เขต 4,ภูมิใจไทย,ประชาชน,47660,23283,24377,10000+
ภาคเหนือ,พิจิตร,3,พิจิตร เขต 3,ภูมิใจไทย,ประชาชน,36214,11381,24833,10000+
ภาคเหนือ,นครสวรรค์,6,นครสวรรค์ เขต 6,ภูมิใจไทย,ประชาชน,33389,8486,24903,10000+
ภาคอีสาน,อุดรธานี,6,อุดรธานี เขต 6,ภูมิใจไทย,ประชาชน,35147,10214,24933,10000+
ภาคเหนือ,พิจิตร,2,พิจิตร เขต 2,ภูมิใจไทย,ประชาชน,44182,19199,24983,10000+
ภาคอีสาน,ศรีสะเกษ,2,ศรีสะเกษ เขต 2,ภูมิใจไทย,ประชาชน,32241,7099,25142,10000+
ภาคอีสาน,อุบลราชธานี,2,อุบลราชธานี เขต 2,ไทรวมพลัง,ประชาชน,33858,8632,25226,10000+
ภาคอีสาน,ร้อยเอ็ด,3,ร้อยเอ็ด เขต 3,กล้าธรรม,ประชาชน,33009,7742,25267,10000+
ภาคกลาง,พระนครศรีอยุธยา,5,พระนครศรีอยุธยา เขต 5,ภูมิใจไทย,ประชาชน,44041,18764,25277,10000+
ภาคอีสาน,กาฬสินธุ์,2,กาฬสินธุ์ เขต 2,เพื่อไทย,ประชาชน,43248,17811,25437,10000+
ภาคกลาง,ราชบุรี,3,ราชบุรี เขต 3,กล้าธรรม,ประชาชน,48792,23353,25439,10000+
ภาคใต้,ปัตตานี,5,ปัตตานี เขต 5,ภูมิใจไทย,ประชาชน,32162,6723,25439,10000+
ภาคกลาง,ราชบุรี,5,ราชบุรี เขต 5,ภูมิใจไทย,ประชาชน,41923,16046,25877,10000+
ภาคกลาง,พระนครศรีอยุธยา,3,พระนครศรีอยุธยา เขต 3,ภูมิใจไทย,ประชาชน,54931,28912,26019,10000+
ภาคใต้,พังงา,1,พังงา เขต 1,ภูมิใจไทย,ประชาชน,34785,8743,26042,10000+
ภาคอีสาน,ขอนแก่น,5,ขอนแก่น เขต 5,กล้าธรรม,ประชาชน,34658,8556,26102,10000+
