year,key,province,district_number,winner_party,votes_rk1,share_rk1,share_rk2,share_rk3,share_others,enc,n_candidates,share_rk1_cand,margin12_cand,threshold
2569,ตราด_1,ตราด,1,ภูมิใจไทย,62391,0.5524065023374416,0.19914293809321434,0.06203074089814421,0.1111081597960051,2.4268684473814957,7,0.5973974989946188,0.3820352745169383,0.75
2569,นครนายก_1,นครนายก,1,กล้าธรรม,30340,0.4128958506280535,0.37137491324287913,0.12177297532695527,0.025122140417250718,2.679800621755067,5,0.4434181488680707,0.04459026935387224,0.75
2569,นครปฐม_1,นครปฐม,1,ภูมิใจไทย,51585,0.5482924651637384,0.26695577309397023,0.04227118608037584,0.060595431693292096,2.2507424927818787,8,0.597193762372799,0.3064286458514222,0.75
2569,นครปฐม_2,นครปฐม,2,กล้าธรรม,41154,0.4707079949674025,0.3199931373670365,0.05081779709481871,0.07738762438522247,2.57210087210654,8,0.5122479462285288,0.1640154344037839,0.75
2569,นครปฐม_3,นครปฐม,3,ภูมิใจไทย,46059,0.5201820563787496,0.2459455186122154,0.07244985543910372,0.07750948680881821,2.485834312017636,9,0.5678304608329019,0.29935646127672166,0.75
2569,นครปฐม_6,นครปฐม,6,ประชาชน,35930,0.39302122073944434,0.3832312404287902,0.04688252023627215,0.09835922117698534,2.777107840656537,10,0.42650427928729984,0.010624028109160405,0.75
2569,นครพนม_1,นครพนม,1,ภูมิใจไทย,57294,0.6467321368100237,0.22236144034315386,0.062253075967942204,0.029913082740715656,1.9583153246658225,10,0.6727964489537096,0.4414734963244792,0.75
2569,นครพนม_3,นครพนม,3,ภูมิใจไทย,34970,0.39317757639810214,0.3735355625014054,0.12917406849407478,0.0493804951541454,2.869253699232819,8,0.4159430977472227,0.020779313461950187,0.75
2569,นครพนม_4,นครพนม,4,เพื่อไทย,38829,0.4262098942954678,0.36375311460654425,0.12226820192529335,0.045410140171015224,2.7844032373588044,11,0.44506212461601946,0.06521938471413508,0.75
2569,นครราชสีมา_2,นครราชสีมา,2,เพื่อไทย,37543,0.39337992602449784,0.3570732525121284,0.09396774835755524,0.07139788551609963,2.869401537304703,10,0.42953903184101233,0.039643948148232896,0.75
2569,นครราชสีมา_7,นครราชสีมา,7,เพื่อไทย,37355,0.5144608180691365,0.2640132213193775,0.12299958683376945,0.03901666437129872,2.5274106770427287,9,0.547013428224165,0.26629471803657984,0.75
2569,นครราชสีมา_8,นครราชสีมา,8,เพื่อไทย,48178,0.6148603808259737,0.14545152891929145,0.11560059216907448,0.028983102761754045,1.9826598983313233,5,0.6794821166647862,0.5187436533904999,0.75
2569,นครศรีธรรมราช_3,นครศรีธรรมราช,3,ประชาธิปัตย์,44848,0.48329148571613306,0.3613802170328782,0.06938801900923522,0.032996756360658214,2.428164744481703,7,0.5103090437394747,0.1287265031177461,0.75
2569,นครศรีธรรมราช_4,นครศรีธรรมราช,4,ประชาธิปัตย์,41929,0.4310844711301201,0.3565759170916269,0.07377858200361902,0.07876501069254811,2.7581429552975987,8,0.4585010060362173,0.07924722246522614,0.75
2569,นครศรีธรรมราช_8,นครศรีธรรมราช,8,ภูมิใจไทย,47916,0.5232832430543422,0.2350602830683208,0.12622313471955268,0.04282063603005417,2.4893146312497656,8,0.5642553492151344,0.3107902825045043,0.75
2569,นครศรีธรรมราช_9,นครศรีธรรมราช,9,ภูมิใจไทย,35278,0.4487838387950336,0.35436596784042335,0.10062589049460614,0.034958273967026256,2.6110471483235216,7,0.4780735039028621,0.10058000867302688,0.75
2569,นครสวรรค์_1,นครสวรรค์,1,ภูมิใจไทย,44878,0.5215946071594607,0.2855299860529986,0.039865178986517896,0.0648419339841934,2.328234904124244,6,0.5720294694980498,0.2588905600734188,0.75
2569,นครสวรรค์_3,นครสวรรค์,3,กล้าธรรม,50364,0.5590409590409591,0.19923409923409924,0.06925296925296925,0.08368298368298369,2.313044562436134,8,0.6135142707483159,0.39486667235141487,0.75
2569,นครสวรรค์_4,นครสวรรค์,4,ภูมิใจไทย,51575,0.6342306226097222,0.1366593293080338,0.06968851068016085,0.06662649565292245,1.9255886240031308,7,0.6991040082414975,0.5484662410366936,0.75
2569,นครสวรรค์_5,นครสวรรค์,5,ภูมิใจไทย,56499,0.6794420058926102,0.14310624736937044,0.0658048223197643,0.03476640009620588,1.7502302602173014,7,0.7360282431411376,0.5810036215835961,0.75
2569,นครสวรรค์_6,นครสวรรค์,6,ภูมิใจไทย,33389,0.4176444099767343,0.37470292447402,0.10614664898806694,0.048232556975958775,2.73944451113926,8,0.4411457714006368,0.04535785537807021,0.75
2569,นราธิวาส_1,นราธิวาส,1,กล้าธรรม,37791,0.40865296235820797,0.3493625442001795,0.10316078592514896,0.08119856829265655,2.933624699955809,7,0.4336416211502272,0.06291595905815395,0.75
2569,นราธิวาส_3,นราธิวาส,3,กล้าธรรม,36053,0.4388091673665121,0.43743381896520245,0.0550261072771753,0.025097065517703045,2.362055851114374,7,0.4588296680920383,0.0014380981470169009,0.75
