key,rate_2566,region,province,district_label,rate_2569,delta_rate,ballot_code
ชุมพร_2,0.03121173340207894,ภาคใต้,ชุมพร,ชุมพร เขต 2,0.03508428259400374,0.003872549191924802,CON
ชุมพร_3,0.03171555450526295,ภาคใต้,ชุมพร,ชุมพร เขต 3,0.03690740301979452,0.005191848514531569,CON
เชียงราย_1,0.02726649920073076,ภาคเหนือ,เชียงราย,เชียงราย เขต 1,0.061663715330532186,0.03439721612980143,CON
เชียงราย_3,0.014524957996856538,ภาคเหนือ,เชียงราย,เชียงราย เขต 3,0.04599514045782003,0.03147018246096349,CON
เชียงราย_5,0.015291524899474173,ภาคเหนือ,เชียงราย,เชียงราย เขต 5,0.03207882224895457,0.0167872973494804,CON
เชียงราย_6,0.018845741159281327,ภาคเหนือ,เชียงราย,เชียงราย เขต 6,0.04596901439948316,0.02712327324020183,CON
เชียงราย_7,0.02009970877141024,ภาคเหนือ,เชียงราย,เชียงราย เขต 7,0.04286021274309659,0.022760503971686354,CON
เชียงราย_4,0.019528316058284513,ภาคเหนือ,เชียงราย,เชียงราย เขต 4,0.051296787033193916,0.0317684709749094,CON
เชียงราย_2,0.020467243725212053,ภาคเหนือ,เชียงราย,เชียงราย เขต 2,0.05554143365531266,0.035074189930100606,CON
เชียงใหม่_5,0.02469841738296381,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 5,0.05876786530052862,0.034069447917564805,CON
เชียงใหม่_1,0.03703225568485698,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 1,0.06625300240192154,0.029220746717064566,CON
เชียงใหม่_2,0.03573041907012301,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 2,0.0764905962384954,0.04076017716837239,CON
เชียงใหม่_3,0.026151097184201957,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 3,0.06961587734103342,0.04346478015683146,CON
เชียงใหม่_4,0.0330917579833104,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 4,0.05729939839049926,0.02420764040718886,CON
เชียงใหม่_6,0.013983406357788757,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 6,0.03566129253481964,0.02167788617703088,CON
เชียงใหม่_7,0.0263569051015556,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 7,0.03314691331469133,0.006790008213135728,CON
เชียงใหม่_8,0.023210635674105105,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 8,0.05549006168608636,0.032279426011981256,CON
เชียงใหม่_9,0.01518057613467989,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 9,0.031069109317620698,0.015888533182940808,CON
เชียงใหม่_10,0.010058650439377865,ภาคเหนือ,เชียงใหม่,เชียงใหม่ เขต 10,0.01578268543241164,0.005724034993033774,CON
ตรัง_1,0.035907786062096464,ภาคใต้,ตรัง,ตรัง เขต 1,0.06568102642535474,0.029773240363258277,CON
ตรัง_2,0.028712653988186686,ภาคใต้,ตรัง,ตรัง เขต 2,0.03409028123100724,0.005377627242820555,CON
ตรัง_4,0.025050493166264683,ภาคใต้,ตรัง,ตรัง เขต 4,0.03797870986895119,0.012928216702686506,CON
ตรัง_3,0.06772162490064008,ภาคใต้,ตรัง,ตรัง เขต 3,0.04598465594641458,-0.021736968954225507,CON
ตราด_1,0.02024984577421345,ภาคตะวันออก,ตราด,ตราด เขต 1,0.03847039240685649,0.018220546632643043,CON
ตาก_1,0.02833178172443426,ภาคเหนือ,ตาก,ตาก เขต 1,0.04606453558504222,0.01773275386060796,CON
ตาก_2,0.02262500792192154,ภาคเหนือ,ตาก,ตาก เขต 2,0.20589792149435968,0.18327291357243813,CON
ตาก_3,0.01611368651187271,ภาคเหนือ,ตาก,ตาก เขต 3,0.028090919527034783,0.011977233015162073,CON
นครนายก_1,0.022000354463283512,ภาคตะวันออก,นครนายก,นครนายก เขต 1,0.03664892965528504,0.014648575192001526,CON
นครนายก_2,0.018072898519775664,ภาคตะวันออก,นครนายก,นครนายก เขต 2,0.04118325198067159,0.023110353460895926,CON
นครปฐม_2,0.03246519082440148,ภาคกลาง,นครปฐม,นครปฐม เขต 2,0.054363490792634105,0.021898299968232622,CON
