district_id,year,ballot_code,region,province,district_number,district_label,eligible_voters,voters_used,valid_votes,invalid_votes,no_vote,turnout_rate
AYA_3,2569,PARTY,ภาคกลาง,พระนครศรีอยุธยา,3,พระนครศรีอยุธยา-3,136493,99961,92085,4544,3332,0.732352575
AYA_4,2569,CONS,ภาคกลาง,พระนครศรีอยุธยา,4,พระนครศรีอยุธยา-4,139523,102574,96028,2797,3749,0.735176279
AYA_4,2569,PARTY,ภาคกลาง,พระนครศรีอยุธยา,4,พระนครศรีอยุธยา-4,139523,101712,94598,3972,3142,0.728998086
AYA_5,2569,CONS,ภาคกลาง,พระนครศรีอยุธยา,5,พระนครศรีอยุธยา-5,133055,98147,91327,4153,2667,0.737642328
AYA_5,2569,PARTY,ภาคกลาง,พระนครศรีอยุธยา,5,พระนครศรีอยุธยา-5,133055,98233,90047,5331,2855,0.738288678
ATG_1,2569,CONS,ภาคกลาง,อ่างทอง,1,อ่างทอง-1,111666,80520,75023,2578,2919,0.721078932
ATG_1,2569,PARTY,ภาคกลาง,อ่างทอง,1,อ่างทอง-1,111666,80689,73747,4107,2835,0.722592374
ATG_2,2569,CONS,ภาคกลาง,อ่างทอง,2,อ่างทอง-2,112423,81967,75719,3152,3096,0.72909458
ATG_2,2569,PARTY,ภาคกลาง,อ่างทอง,2,อ่างทอง-2,112423,79098,71535,5059,2504,0.703574891
LRI_1,2569,CONS,ภาคกลาง,ลพบุรี,1,ลพบุรี-1,151712,97232,88735,3424,5073,0.640898545
LRI_1,2569,PARTY,ภาคกลาง,ลพบุรี,1,ลพบุรี-1,151712,97104,86778,6081,4245,0.640054841
LRI_2,2569,CONS,ภาคกลาง,ลพบุรี,2,ลพบุรี-2,149672,110985,102847,3842,4296,0.74152146
LRI_2,2569,PARTY,ภาคกลาง,ลพบุรี,2,ลพบุรี-2,149672,110846,100668,6120,4058,0.740592763
LRI_3,2569,CONS,ภาคกลาง,ลพบุรี,3,ลพบุรี-3,145648,99817,93520,3661,2636,0.685330386
LRI_3,2569,PARTY,ภาคกลาง,ลพบุรี,3,ลพบุรี-3,145648,95328,86836,5958,2534,0.654509502
LRI_4,2569,CONS,ภาคกลาง,ลพบุรี,4,ลพบุรี-4,149394,109708,102196,4531,2981,0.734353455
LRI_4,2569,PARTY,ภาคกลาง,ลพบุรี,4,ลพบุรี-4,149394,110263,100130,6837,3296,0.738068463
SBR_1,2569,CONS,ภาคกลาง,สิงห์บุรี,1,สิงห์บุรี-1,167173,120463,108486,5170,6807,0.720588851
SBR_1,2569,PARTY,ภาคกลาง,สิงห์บุรี,1,สิงห์บุรี-1,167173,120546,108622,6676,5248,0.721085343
CNT_1,2569,CONS,ภาคกลาง,ชัยนาท,1,ชัยนาท-1,131155,85157,72785,5224,7148,0.649285197
CNT_1,2569,PARTY,ภาคกลาง,ชัยนาท,1,ชัยนาท-1,131155,85178,75681,5214,4283,0.649445313
CNT_2,2569,CONS,ภาคกลาง,ชัยนาท,2,ชัยนาท-2,130424,90466,80425,4664,5377,0.693630007
CNT_2,2569,PARTY,ภาคกลาง,ชัยนาท,2,ชัยนาท-2,130424,90276,79866,6749,3661,0.69217322
SRI_1,2569,CONS,ภาคกลาง,สระบุรี,1,สระบุรี-1,128124,91835,82105,3459,6271,0.71676657
SRI_1,2569,PARTY,ภาคกลาง,สระบุรี,1,สระบุรี-1,128124,91767,83461,4200,4106,0.716235834
SRI_2,2569,CONS,ภาคกลาง,สระบุรี,2,สระบุรี-2,136691,98281,90532,4256,3493,0.719001251
SRI_2,2569,PARTY,ภาคกลาง,สระบุรี,2,สระบุรี-2,136691,98696,89163,5896,3637,0.722037296
SRI_3,2569,CONS,ภาคกลาง,สระบุรี,3,สระบุรี-3,125851,65098,59919,2411,2768,0.517262477
SRI_3,2569,PARTY,ภาคกลาง,สระบุรี,3,สระบุรี-3,125851,66275,59824,3527,2924,0.526614806
SRI_4,2569,CONS,ภาคกลาง,สระบุรี,4,สระบุรี-4,128318,94975,85330,4089,5556,0.740153369
SRI_4,2569,PARTY,ภาคกลาง,สระบุรี,4,สระบุรี-4,128318,94839,84249,5589,5001,0.739093502
CBI_1,2569,CONS,ภาคตะวันออก,ชลบุรี,1,ชลบุรี-1,133544,98894,92439,2127,4328,0.740534955
CBI_1,2569,PARTY,ภาคตะวันออก,ชลบุรี,1,ชลบุรี-1,133544,98442,92687,2910,2845,0.737150303
CBI_2,2569,CONS,ภาคตะวันออก,ชลบุรี,2,ชลบุรี-2,113941,78872,73956,1776,3140,0.692217902
CBI_2,2569,PARTY,ภาคตะวันออก,ชลบุรี,2,ชลบุรี-2,113941,78872,74280,2150,2442,0.692217902
CBI_3,2569,CONS,ภาคตะวันออก,ชลบุรี,3,ชลบุรี-3,127184,92645,84876,3120,4649,0.728432822
CBI_3,2569,PARTY,ภาคตะวันออก,ชลบุรี,3,ชลบุรี-3,127184,92645,86453,3183,3009,0.728432822
CBI_4,2569,CONS,ภาคตะวันออก,ชลบุรี,4,ชลบุรี-4,120269,83770,76139,3736,3895,0.696521963
CBI_4,2569,PARTY,ภาคตะวันออก,ชลบุรี,4,ชลบุรี-4,120269,83726,76211,4745,2770,0.696156117
CBI_5,2569,CONS,ภาคตะวันออก,ชลบุรี,5,ชลบุรี-5,134984,97667,89663,3471,4533,0.723545013
CBI_5,2569,PARTY,ภาคตะวันออก,ชลบุรี,5,ชลบุรี-5,134984,94743,86568,4768,3407,0.701883186
CBI_6,2569,CONS,ภาคตะวันออก,ชลบุรี,6,ชลบุรี-6,138570,88248,81831,2068,4349,0.636847803
CBI_6,2569,PARTY,ภาคตะวันออก,ชลบุรี,6,ชลบุรี-6,138570,88747,83249,2867,2631,0.640448871
CBI_7,2569,CONS,ภาคตะวันออก,ชลบุรี,7,ชลบุรี-7,127875,84276,78561,1993,3722,0.659049853
CBI_7,2569,PARTY,ภาคตะวันออก,ชลบุรี,7,ชลบุรี-7,127875,84052,79513,2185,2354,0.657298143
CBI_8,2569,CONS,ภาคตะวันออก,ชลบุรี,8,ชลบุรี-8,140456,86649,79998,2844,3807,0.616912058
CBI_8,2569,PARTY,ภาคตะวันออก,ชลบุรี,8,ชลบุรี-8,140456,86455,80819,3093,2543,0.615530842
CBI_9,2569,CONS,ภาคตะวันออก,ชลบุรี,9,ชลบุรี-9,122755,62578,56469,2878,3231,0.509779642
CBI_9,2569,PARTY,ภาคตะวันออก,ชลบุรี,9,ชลบุรี-9,122755,62757,58973,1872,1912,0.511237831
CBI_10,2569,CONS,ภาคตะวันออก,ชลบุรี,10,ชลบุรี-10,134689,84108,77743,1900,4465,0.624460795
CBI_10,2569,PARTY,ภาคตะวันออก,ชลบุรี,10,ชลบุรี-10,134689,79374,72890,2585,3899,0.589313158
RYG_1,2569,CONS,ภาคตะวันออก,ระยอง,1,ระยอง-1,121744,85173,79332,2232,3609,0.699607373
RYG_1,2569,PARTY,ภาคตะวันออก,ระยอง,1,ระยอง-1,121744,85173,80393,2223,2557,0.699607373
RYG_2,2569,CONS,ภาคตะวันออก,ระยอง,2,ระยอง-2,116647,71887,63412,3408,5067,0.616278173
RYG_2,2569,PARTY,ภาคตะวันออก,ระยอง,2,ระยอง-2,116647,71913,67372,2053,2488,0.616501067
RYG_3,2569,CONS,ภาคตะวันออก,ระยอง,3,ระยอง-3,124374,80115,71812,3348,4955,0.644145883
RYG_3,2569,PARTY,ภาคตะวันออก,ระยอง,3,ระยอง-3,124374,80302,73011,3503,3788,0.645649412
RYG_4,2569,CONS,ภาคตะวันออก,ระยอง,4,ระยอง-4,129476,57717,53379,1994,2344,0.445773734
RYG_4,2569,PARTY,ภาคตะวันออก,ระยอง,4,ระยอง-4,129476,52640,48711,2206,1723,0.406561834
RYG_5,2569,CONS,ภาคตะวันออก,ระยอง,5,ระยอง-5,129567,85239,77376,3288,4575,0.657875848
RYG_5,2569,PARTY,ภาคตะวันออก,ระยอง,5,ระยอง-5,129567,85354,79657,2960,2737,0.65876342
CTI_1,2569,CONS,ภาคตะวันออก,จันทบุรี,1,จันทบุรี-1,148028,105152,95966,3058,6128,0.710352096
CTI_1,2569,PARTY,ภาคตะวันออก,จันทบุรี,1,จันทบุรี-1,148028,104944,95372,4217,5355,0.708946956
CTI_2,2569,CONS,ภาคตะวันออก,จันทบุรี,2,จันทบุรี-2,142477,94138,84142,4595,5401,0.660724187
CTI_2,2569,PARTY,ภาคตะวันออก,จันทบุรี,2,จันทบุรี-2,142477,94306,84082,5244,4980,0.661903325
CTI_3,2569,CONS,ภาคตะวันออก,จันทบุรี,3,จันทบุรี-3,142287,96465,87089,4032,5344,0.677960741
CTI_3,2569,PARTY,ภาคตะวันออก,จันทบุรี,3,จันทบุรี-3,142287,96465,86495,5477,4493,0.677960741
TRT_1,2569,CONS,ภาคตะวันออก,ตราด,1,ตราด-1,176920,112944,104438,4161,4345,0.638390233
TRT_1,2569,PARTY,ภาคตะวันออก,ตราด,1,ตราด-1,176920,113099,103587,5726,3786,0.639266335
CCO_1,2569,CONS,ภาคตะวันออก,ฉะเชิงเทรา,1,ฉะเชิงเทรา-1,146573,105262,91858,4789,8615,0.718154094
CCO_1,2569,PARTY,ภาคตะวันออก,ฉะเชิงเทรา,1,ฉะเชิงเทรา-1,146573,105523,96521,3886,5116,0.719934777
CCO_2,2569,CONS,ภาคตะวันออก,ฉะเชิงเทรา,2,ฉะเชิงเทรา-2,145059,114004,105669,4230,4105,0.785914697
CCO_2,2569,PARTY,ภาคตะวันออก,ฉะเชิงเทรา,2,ฉะเชิงเทรา-2,145059,113603,103370,6316,3917,0.783150304
