district_id,year,region,province,district_number,district_label
AYA_2,2569,ภาคกลาง,พระนครศรีอยุธยา,2,พระนครศรีอยุธยา-2
AYA_3,2569,ภาคกลาง,พระนครศรีอยุธยา,3,พระนครศรีอยุธยา-3
AYA_4,2569,ภาคกลาง,พระนครศรีอยุธยา,4,พระนครศรีอยุธยา-4
AYA_5,2569,ภาคกลาง,พระนครศรีอยุธยา,5,พระนครศรีอยุธยา-5
ATG_1,2569,ภาคกลาง,อ่างทอง,1,อ่างทอง-1
ATG_2,2569,ภาคกลาง,อ่างทอง,2,อ่างทอง-2
LRI_1,2569,ภาคกลาง,ลพบุรี,1,ลพบุรี-1
LRI_2,2569,ภาคกลาง,ลพบุรี,2,ลพบุรี-2
LRI_3,2569,ภาคกลาง,ลพบุรี,3,ลพบุรี-3
LRI_4,2569,ภาคกลาง,ลพบุรี,4,ลพบุรี-4
SBR_1,2569,ภาคกลาง,สิงห์บุรี,1,สิงห์บุรี-1
CNT_1,2569,ภาคกลาง,ชัยนาท,1,ชัยนาท-1
CNT_2,2569,ภาคกลาง,ชัยนาท,2,ชัยนาท-2
SRI_1,2569,ภาคกลาง,สระบุรี,1,สระบุรี-1
SRI_2,2569,ภาคกลาง,สระบุรี,2,สระบุรี-2
SRI_3,2569,ภาคกลาง,สระบุรี,3,สระบุรี-3
SRI_4,2569,ภาคกลาง,สระบุรี,4,สระบุรี-4
CBI_1,2569,ภาคตะวันออก,ชลบุรี,1,ชลบุรี-1
CBI_2,2569,ภาคตะวันออก,ชลบุรี,2,ชลบุรี-2
CBI_3,2569,ภาคตะวันออก,ชลบุรี,3,ชลบุรี-3
CBI_4,2569,ภาคตะวันออก,ชลบุรี,4,ชลบุรี-4
CBI_5,2569,ภาคตะวันออก,ชลบุรี,5,ชลบุรี-5
CBI_6,2569,ภาคตะวันออก,ชลบุรี,6,ชลบุรี-6
CBI_7,2569,ภาคตะวันออก,ชลบุรี,7,ชลบุรี-7
CBI_8,2569,ภาคตะวันออก,ชลบุรี,8,ชลบุรี-8
CBI_9,2569,ภาคตะวันออก,ชลบุรี,9,ชลบุรี-9
CBI_10,2569,ภาคตะวันออก,ชลบุรี,10,ชลบุรี-10
RYG_1,2569,ภาคตะวันออก,ระยอง,1,ระยอง-1
RYG_2,2569,ภาคตะวันออก,ระยอง,2,ระยอง-2
RYG_3,2569,ภาคตะวันออก,ระยอง,3,ระยอง-3
RYG_4,2569,ภาคตะวันออก,ระยอง,4,ระยอง-4
RYG_5,2569,ภาคตะวันออก,ระยอง,5,ระยอง-5
CTI_1,2569,ภาคตะวันออก,จันทบุรี,1,จันทบุรี-1
CTI_2,2569,ภาคตะวันออก,จันทบุรี,2,จันทบุรี-2
CTI_3,2569,ภาคตะวันออก,จันทบุรี,3,จันทบุรี-3
TRT_1,2569,ภาคตะวันออก,ตราด,1,ตราด-1
CCO_1,2569,ภาคตะวันออก,ฉะเชิงเทรา,1,ฉะเชิงเทรา-1
CCO_2,2569,ภาคตะวันออก,ฉะเชิงเทรา,2,ฉะเชิงเทรา-2
CCO_3,2569,ภาคตะวันออก,ฉะเชิงเทรา,3,ฉะเชิงเทรา-3
CCO_4,2569,ภาคตะวันออก,ฉะเชิงเทรา,4,ฉะเชิงเทรา-4
PRI_1,2569,ภาคตะวันออก,ปราจีนบุรี,1,ปราจีนบุรี-1
PRI_2,2569,ภาคตะวันออก,ปราจีนบุรี,2,ปราจีนบุรี-2
PRI_3,2569,ภาคตะวันออก,ปราจีนบุรี,3,ปราจีนบุรี-3
NYK_1,2569,ภาคตะวันออก,นครนายก,1,นครนายก-1
NYK_2,2569,ภาคตะวันออก,นครนายก,2,นครนายก-2
BRM_4,2569,ภาคอีสาน,บุรีรัมย์,4,บุรีรัมย์-4
SKW_1,2569,ภาคตะวันออก,สระแก้ว,1,สระแก้ว-1
SKW_2,2569,ภาคตะวันออก,สระแก้ว,2,สระแก้ว-2
SKW_3,2569,ภาคตะวันออก,สระแก้ว,3,สระแก้ว-3
NMA_1,2569,ภาคอีสาน,นครราชสีมา,1,นครราชสีมา-1
NMA_2,2569,ภาคอีสาน,นครราชสีมา,2,นครราชสีมา-2
NMA_3,2569,ภาคอีสาน,นครราชสีมา,3,นครราชสีมา-3
NMA_4,2569,ภาคอีสาน,นครราชสีมา,4,นครราชสีมา-4
NMA_5,2569,ภาคอีสาน,นครราชสีมา,5,นครราชสีมา-5
NMA_6,2569,ภาคอีสาน,นครราชสีมา,6,นครราชสีมา-6
NMA_7,2569,ภาคอีสาน,นครราชสีมา,7,นครราชสีมา-7
NMA_8,2569,ภาคอีสาน,นครราชสีมา,8,นครราชสีมา-8
NMA_9,2569,ภาคอีสาน,นครราชสีมา,9,นครราชสีมา-9
NMA_10,2569,ภาคอีสาน,นครราชสีมา,10,นครราชสีมา-10
NMA_11,2569,ภาคอีสาน,นครราชสีมา,11,นครราชสีมา-11
NMA_12,2569,ภาคอีสาน,นครราชสีมา,12,นครราชสีมา-12
NMA_13,2569,ภาคอีสาน,นครราชสีมา,13,นครราชสีมา-13
NMA_14,2569,ภาคอีสาน,นครราชสีมา,14,นครราชสีมา-14
NMA_15,2569,ภาคอีสาน,นครราชสีมา,15,นครราชสีมา-15
NMA_16,2569,ภาคอีสาน,นครราชสีมา,16,นครราชสีมา-16
BRM_1,2569,ภาคอีสาน,บุรีรัมย์,1,บุรีรัมย์-1
BRM_2,2569,ภาคอีสาน,บุรีรัมย์,2,บุรีรัมย์-2
BRM_3,2569,ภาคอีสาน,บุรีรัมย์,3,บุรีรัมย์-3
BRM_5,2569,ภาคอีสาน,บุรีรัมย์,5,บุรีรัมย์-5
BRM_6,2569,ภาคอีสาน,บุรีรัมย์,6,บุรีรัมย์-6
